row_id,model_a,model_b,human_pref,judge_pref,scores_a,scores_b,meta_lang
sample-0000,phi-3-small-8k-instruct,gemma-2-27b-it,0.5,1.0,"{'adherence': 9.5, 'helpfulness': 9.0, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 10.0, 'fluency': 9.5}","{'adherence': 10.0, 'helpfulness': 9.5, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 10.0, 'fluency': 10.0}",en
sample-0001,gemma-2-2b-it,gemini-1.5-pro-api-0514,1.0,1.0,"{'adherence': 7.0, 'helpfulness': 6.0, 'factuality': 7.0, 'completeness': 7.0, 'clarity': 6.0, 'fluency': 3.0}","{'adherence': 10.0, 'helpfulness': 9.0, 'factuality': 9.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}",ru
sample-0002,gpt-4o-2024-05-13,phi-3-small-8k-instruct,0.0,0.5,"{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 8.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 8.0}","{'adherence': 3.0, 'helpfulness': 4.0, 'factuality': 8.0, 'completeness': 3.0, 'clarity': 7.0, 'fluency': 7.0}",de
sample-0003,llama-3-70b-instruct,gpt-3.5-turbo-0125,1.0,1.0,"{'adherence': 7.0, 'helpfulness': 3.5, 'factuality': 2.0, 'completeness': 5.5, 'clarity': 8.0, 'fluency': 8.0}","{'adherence': 7.5, 'helpfulness': 5.5, 'factuality': 4.5, 'completeness': 6.5, 'clarity': 8.0, 'fluency': 8.0}",en
sample-0004,gemini-1.5-pro-api-0514,llama-3-8b-instruct,0.5,0.0,"{'adherence': 7.5, 'helpfulness': 6.0, 'factuality': 9.0, 'completeness': 6.5, 'clarity': 8.0, 'fluency': 8.0}","{'adherence': 3.5, 'helpfulness': 4.5, 'factuality': 2.0, 'completeness': 7.0, 'clarity': 7.5, 'fluency': 7.0}",ru
sample-0005,claude-3-5-sonnet-20240620,phi-3-small-8k-instruct,0.0,0.0,"{'adherence': 10.0, 'helpfulness': 10.0, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 10.0, 'fluency': 10.0}","{'adherence': 1.0, 'helpfulness': 1.0, 'factuality': 1.0, 'completeness': 1.0, 'clarity': 7.0, 'fluency': 7.0}",de
sample-0006,gemma-2-9b-it,llama-3-70b-instruct,0.5,1.0,"{'adherence': 7.5, 'helpfulness': 5.5, 'factuality': 3.5, 'completeness': 7.0, 'clarity': 7.5, 'fluency': 8.0}","{'adherence': 7.5, 'helpfulness': 6.5, 'factuality': 4.5, 'completeness': 7.5, 'clarity': 7.5, 'fluency': 8.0}",en
sample-0007,mixtral-8x7b-instruct-v0.1,claude-3-opus-20240229,1.0,1.0,"{'adherence': 8.5, 'helpfulness': 7.0, 'factuality': 5.0, 'completeness': 7.0, 'clarity': 8.0, 'fluency': 8.0}","{'adherence': 8.5, 'helpfulness': 8.0, 'factuality': 6.0, 'completeness': 8.5, 'clarity': 8.5, 'fluency': 8.5}",en
sample-0008,gemini-1.5-pro-api-0514,llama-3-8b-instruct,0.0,0.0,"{'adherence': 7.5, 'helpfulness': 8.0, 'factuality': 9.0, 'completeness': 8.0, 'clarity': 9.0, 'fluency': 8.0}","{'adherence': 7.0, 'helpfulness': 7.0, 'factuality': 9.0, 'completeness': 7.0, 'clarity': 7.5, 'fluency': 7.5}",en
sample-0009,llama-3-70b-instruct,mixtral-8x7b-instruct-v0.1,0.5,0.5,"{'adherence': 8.0, 'helpfulness': 9.0, 'factuality': 10.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 1.0, 'helpfulness': 2.0, 'factuality': 4.0, 'completeness': 2.0, 'clarity': 1.0, 'fluency': 2.0}",ja
